_id,lat,lon,area,price,num_bed,num_bath,category
ObjectId(5e5f395b38c1de470fcd1370),13.290403,108.426511,28.0,2350000000.00,3.0,3.0,2
ObjectId(5e5f395b38c1de470fcd1373),13.290403,108.426511,35.0,5500000000.0,4.0,3.0,2
ObjectId(5e5f395f38c1de470fcd137a),21.0474897,105.8107245,40.0,3300000000.0,3.0,3.0,2
ObjectId(5e5f396238c1de470fcd137d),20.980339999999998,105.83551999999999,40.0,3300000000.0,4.0,3.0,2
ObjectId(5e5f396238c1de470fcd1380),21.01407,105.83663999999999,48.0,2580000000.00,3.0,3.0,2
ObjectId(5e5f396538c1de470fcd1386),21.0185701,105.80758490000002,37.0,7100000000.0,4.0,4.0,2
ObjectId(5e5f396738c1de470fcd138b),20.9755354,105.8574465456738,42.0,2950000000.00,4.0,4.0,2
ObjectId(5e5f396838c1de470fcd138c),20.99116,105.81268,48.0,3700000000.0,4.0,4.0,2
ObjectId(5e5f396838c1de470fcd1390),21.02666,105.81293000000001,27.0,2750000000.00,3.0,3.0,2
ObjectId(5e5f396a38c1de470fcd1391),21.0327359,105.79852240000001,30.0,3200000000.0,4.0,3.0,2
ObjectId(5e5f396d38c1de470fcd1395),20.984560000000002,105.81445,38.0,3900000000.0,4.0,4.0,2
ObjectId(5e5f396d38c1de470fcd1397),20.988529999999997,105.81815,37.0,3200000000.0,3.0,3.0,2
ObjectId(5e5f396d38c1de470fcd1399),20.99694,105.8246,34.0,3650000000.00,4.0,4.0,2
ObjectId(5e5f396d38c1de470fcd139a),20.984560000000002,105.81445,38.0,3900000000.0,4.0,4.0,2
ObjectId(5e5f396238c1de470fcd1382),20.98818,105.85706,66.0,4100000000.0,4.0,3.0,2
ObjectId(5e5f396538c1de470fcd1384),21.24992,105.84948999999999,150.0,2400000000.0,2.0,1.0,2
ObjectId(5e5f396538c1de470fcd1385),21.05508,105.90377,26.0,2250000000.00,3.0,3.0,2
ObjectId(5e5f396538c1de470fcd1388),21.0206628,105.81532279999999,52.0,1380000000.00,2.0,1.0,2
ObjectId(5e5f396538c1de470fcd1389),21.042682199999998,105.8353012,50.0,5500000000.0,4.0,4.0,2
ObjectId(5e5f396838c1de470fcd138d),20.98336,105.87615,38.0,2300000000.0,3.0,4.0,2
ObjectId(5e5f396a38c1de470fcd1392),21.0455902,105.81165630000001,70.0,5500000000.0,4.0,4.0,2
ObjectId(5e5f396a38c1de470fcd1394),21.0512048,105.80815120000001,30.0,2850000000.00,4.0,4.0,2
ObjectId(5e5f397438c1de470fcd139f),21.010177399999996,105.8120261,50.0,7100000000.0,4.0,4.0,2
ObjectId(5e5f397438c1de470fcd13a1),21.01269,105.83252,50.0,5700000000.0,4.0,4.0,2
ObjectId(5e5f397438c1de470fcd13a3),21.0228455,105.7982719,65.0,8000000000,4.0,3.0,2
ObjectId(5e5f397438c1de470fcd13a4),13.290403,108.426511,52.0,4850000000.00,4.0,3.0,2
ObjectId(5e5f397438c1de470fcd13a8),21.00278368926905,105.91140053146057,32.0,1250000000.00,2.0,2.0,2
ObjectId(5e5f397438c1de470fcd13a9),21.0381,105.75666000000001,50.0,4400000000.0,4.0,4.0,2
ObjectId(5e5f396d38c1de470fcd1398),21.0462443,105.78155929999998,32.0,5000000000,3.0,3.0,2
ObjectId(5e5f396d38c1de470fcd139b),20.984560000000002,105.81445,40.0,3600000000.0,4.0,4.0,2
ObjectId(5e5f397538c1de470fcd13ae),20.99946,105.82501,22.0,3050000000.00,2.0,2.0,2
ObjectId(5e5f397538c1de470fcd13ac),21.043796,105.80750699839795,50.0,11000000000,4.0,4.0,2
ObjectId(5e5f397538c1de470fcd13ad),21.02169,105.79982,35.0,3300000000.0,4.0,4.0,2
ObjectId(5e5f397538c1de470fcd13af),21.007360000000002,105.85927,50.0,4900000000.0,3.0,3.0,2
ObjectId(5e5f397538c1de470fcd13b0),21.0528021,105.70956177263956,34.0,1400000000.0,2.0,2.0,2
