_id,lat,lon,area,price,num_bed,num_bath,category,hospital,university,medical_supply,pharmacy,school,college,cafe,bus_station,police,bank,marketplace
ObjectId(5e5f3c2538c1de470fcd1a6e),20.9916904,105.84428619999994,62.0,6300000000.0,4.0,4.0,2,10,1,5,10,10,4,10,10,3,10,4
ObjectId(5e5f3c1e38c1de470fcd1a5b),21.0277644,105.83415979999997,40.0,4000000000,3.0,3.0,2,0,0,1,10,10,4,0,10,9,10,1
ObjectId(5e5f3c2638c1de470fcd1a72),21.0367702,105.80114449999996,66.0,5050000000.00,4.0,4.0,2,10,7,0,10,10,0,10,6,0,10,4
ObjectId(5e5f3c2538c1de470fcd1a6a),20.9876154,105.80040340000004,44.0,3000000000,3.0,1.0,2,10,8,3,10,10,2,10,6,9,10,6
ObjectId(5e5f3c2e38c1de470fcd1a85),21.072128600000003,105.81677760000002,70.0,17900000000.0,4.0,4.0,2,1,0,1,6,4,0,0,5,0,8,0
ObjectId(5e5f3c3638c1de470fcd1a99),20.9827783,105.82107940000004,33.0,3300000000.0,3.0,4.0,2,10,0,0,0,0,1,0,6,0,1,0
ObjectId(5e5f3c4338c1de470fcd1ac4),21.024236600000002,105.82687520000002,50.0,5400000000.0,4.0,3.0,2,10,9,0,10,10,1,10,10,3,10,2
ObjectId(5e5f3c3338c1de470fcd1a95),21.065051500000003,105.81007309999997,55.0,4500000000.0,4.0,4.0,2,0,0,0,10,0,0,0,0,0,10,2
ObjectId(5e5f3c2b38c1de470fcd1a7d),21.0512976,105.80820700000004,34.0,2850000000.00,4.0,4.0,2,0,0,2,10,0,2,0,8,7,10,0
ObjectId(5e5f3c2c38c1de470fcd1a83),21.0223215,105.83133999999997,12.0,1150000000.00,4.0,4.0,2,10,2,0,10,10,0,10,7,0,0,0
ObjectId(5e5f3c2c38c1de470fcd1a82),21.0000155,105.83182379999994,36.0,2650000000.00,4.0,4.0,2,10,5,10,10,6,0,0,0,5,10,0
ObjectId(5e5f3c3138c1de470fcd1a8e),21.0333915,105.79777360000004,45.0,7500000000.0,4.0,4.0,2,10,6,0,0,10,2,10,4,0,10,3
ObjectId(5e5f3c3138c1de470fcd1a8b),20.9415266,105.76042570000004,38.0,1560000000.00,3.0,3.0,2,6,0,0,0,10,0,0,0,0,0,2
ObjectId(5e5f3c2b38c1de470fcd1a7c),21.010492000000003,105.822546,45.0,3650000000.00,4.0,4.0,2,10,10,2,10,0,10,10,10,6,10,3
ObjectId(5e5f3c4038c1de470fcd1abb),20.9876154,105.80040340000004,35.0,3500000000.0,3.0,2.0,2,0,8,0,0,10,2,10,6,9,10,6
ObjectId(5e5f3c3e38c1de470fcd1ab5),21.0154932,105.8326373,32.0,1750000000.00,3.0,2.0,2,0,0,0,10,0,9,0,0,0,0,0
ObjectId(5e5f3c3a38c1de470fcd1aa6),21.034736499999998,105.76494159999993,45.0,5500000000.0,4.0,4.0,2,0,5,0,10,0,6,0,0,0,0,0
ObjectId(5e5f3c4038c1de470fcd1ab8),21.0288099,105.8235621,12.0,1450000000.00,3.0,4.0,2,10,2,1,0,0,0,0,10,0,0,0
ObjectId(5e5f3c3838c1de470fcd1a9c),21.04102,105.8120546,35.0,5000000000,3.0,3.0,2,10,0,0,10,0,0,0,3,10,10,3
ObjectId(5e5f3c3338c1de470fcd1a96),21.0348708,105.81034390000002,46.0,5600000000.0,4.0,4.0,2,0,0,1,10,0,4,10,0,0,0,0
ObjectId(5e5f3c4338c1de470fcd1ac6),21.0034723,105.74991139999996,34.0,2240000000.00,4.0,3.0,2,1,0,0,10,4,0,10,4,0,2,0
ObjectId(5e5f3c2c38c1de470fcd1a80),21.0365018,105.7855108,41.0,5300000000.0,4.0,4.0,2,10,10,0,10,0,0,0,6,0,5,7
ObjectId(5e5f3c3338c1de470fcd1a91),21.0333915,105.79777360000004,60.0,7600000000.0,4.0,4.0,2,10,0,0,10,10,2,10,4,0,10,3
ObjectId(5e5f3c3338c1de470fcd1a94),21.035363,105.81928590000008,35.0,4000000000,3.0,4.0,2,10,0,0,0,10,3,0,0,2,0,3
ObjectId(5e5f3c3e38c1de470fcd1ab1),21.028564499999998,105.79950970000004,33.0,3300000000.0,3.0,3.0,2,10,5,0,0,0,1,0,10,0,0,0
ObjectId(5e5f3c3338c1de470fcd1a92),21.035363,105.81928590000008,50.0,4000000000,4.0,4.0,2,10,3,0,10,10,0,10,0,0,10,3
ObjectId(5e5f3c4438c1de470fcd1acd),21.035885,105.8137756,31.0,3200000000.0,3.0,4.0,2,10,3,1,10,10,6,10,0,8,10,9
ObjectId(5e5f3c4338c1de470fcd1ac5),21.0104478,105.8184384,100.0,7890000000.00,4.0,3.0,2,10,1,10,10,10,9,10,10,6,10,0
ObjectId(5e5f3c4438c1de470fcd1aca),21.0161795,105.82860260000008,30.0,3100000000.0,4.0,3.0,2,10,0,2,10,10,10,10,10,8,10,2
ObjectId(5e5f3c3a38c1de470fcd1aa0),21.0069151,105.86567890000003,50.0,3700000000.0,2.0,2.0,2,0,0,0,0,0,3,10,0,4,0,3
